"fk_vtl_id","unixtime","coordinate","vel_mph"
-61,1202521606,"(-122.0966,37.6484)",40
-61,1202521910,"(-122.0966,37.6484)",29
-61,1202521943,"(-122.0966,37.6484)",30
-61,1202522045,"(-122.0966,37.6484)",29
-61,1202522098,"(-122.0966,37.6484)",29
-61,1202522155,"(-122.0966,37.6484)",26
-61,1202522194,"(-122.0966,37.6484)",27
-61,1202522294,"(-122.0966,37.6484)",22
-61,1202522333,"(-122.0966,37.6484)",25
-60,1202494765,"(-122.0951,37.6465)",67
-60,1202494776,"(-122.0951,37.6465)",68
-60,1202494821,"(-122.0952,37.6465)",61
-60,1202494875,"(-122.0951,37.6465)",70
-60,1202494934,"(-122.0952,37.6465)",57
-60,1202495161,"(-122.0952,37.6465)",63
-60,1202495187,"(-122.0952,37.6465)",57
-60,1202495215,"(-122.0951,37.6465)",69
-60,1202495855,"(-122.0952,37.6465)",59
-60,1202495879,"(-122.0952,37.6465)",62
-60,1202496059,"(-122.0953,37.6464)",63
-60,1202496257,"(-122.0952,37.6465)",60
-60,1202496564,"(-122.0951,37.6465)",68
-60,1202496826,"(-122.0951,37.6465)",60
-60,1202496895,"(-122.0952,37.6465)",64
-60,1202496897,"(-122.0952,37.6464)",57
-60,1202497014,"(-122.0952,37.6465)",66
-60,1202497101,"(-122.0952,37.6465)",63
-60,1202497111,"(-122.0952,37.6465)",63
-60,1202497153,"(-122.0952,37.6465)",67
-60,1202497248,"(-122.0952,37.6465)",61
-60,1202497283,"(-122.0952,37.6464)",63
-60,1202497342,"(-122.0952,37.6464)",64
-60,1202497407,"(-122.0952,37.6465)",68
-60,1202497436,"(-122.0952,37.6465)",57
-60,1202497685,"(-122.0952,37.6464)",64
-60,1202497710,"(-122.0952,37.6465)",66
-60,1202497917,"(-122.0951,37.6465)",68
-60,1202498204,"(-122.0951,37.6465)",63
-60,1202498329,"(-122.0952,37.6465)",58
-60,1202498374,"(-122.0952,37.6465)",62
-60,1202498466,"(-122.0952,37.6465)",60
-60,1202498486,"(-122.0952,37.6465)",62
-60,1202498576,"(-122.0952,37.6464)",55
-60,1202498643,"(-122.0952,37.6465)",59
-60,1202499026,"(-122.0951,37.6465)",67
-60,1202499051,"(-122.0952,37.6465)",67
-60,1202499228,"(-122.0952,37.6465)",53
-60,1202499428,"(-122.0952,37.6465)",62
-60,1202499649,"(-122.0952,37.6465)",62
-60,1202499653,"(-122.0952,37.6465)",68
-60,1202499680,"(-122.0952,37.6465)",56
-60,1202499801,"(-122.0952,37.6465)",60
-60,1202499817,"(-122.0951,37.6465)",65
-60,1202499842,"(-122.0951,37.6465)",64
-60,1202499852,"(-122.0952,37.6465)",62
-60,1202500212,"(-122.0952,37.6465)",65
-60,1202500374,"(-122.0952,37.6464)",55
-60,1202500465,"(-122.0952,37.6465)",60
-60,1202500590,"(-122.0952,37.6465)",55
-60,1202500676,"(-122.0952,37.6464)",64
-60,1202500756,"(-122.0952,37.6465)",67
-60,1202500855,"(-122.0952,37.6465)",66
-60,1202500925,"(-122.0952,37.6465)",60
-60,1202500948,"(-122.0952,37.6465)",57
-60,1202500995,"(-122.0952,37.6465)",57
-60,1202501015,"(-122.0951,37.6465)",73
-60,1202501126,"(-122.0952,37.6465)",54
-60,1202501131,"(-122.0952,37.6464)",54
-60,1202501254,"(-122.0951,37.6465)",64
-60,1202501401,"(-122.0951,37.6465)",57
-60,1202501446,"(-122.0952,37.6465)",58
-60,1202501713,"(-122.0952,37.6464)",51
-60,1202501726,"(-122.0952,37.6465)",58
-60,1202501816,"(-122.0951,37.6465)",69
-60,1202501836,"(-122.0952,37.6465)",59
-60,1202501881,"(-122.0952,37.6465)",56
-60,1202502037,"(-122.0951,37.6465)",57
-60,1202502048,"(-122.0952,37.6465)",71
-60,1202502205,"(-122.0952,37.6465)",62
-60,1202502400,"(-122.0953,37.6464)",60
-60,1202502576,"(-122.0952,37.6465)",60
-60,1202502583,"(-122.0952,37.6465)",54
-60,1202502656,"(-122.0952,37.6465)",62
-60,1202502809,"(-122.0952,37.6465)",62
-60,1202502836,"(-122.0952,37.6465)",63
-60,1202503049,"(-122.0951,37.6465)",67
-60,1202503049,"(-122.0952,37.6465)",63
-60,1202503123,"(-122.0952,37.6465)",61
-60,1202503130,"(-122.0952,37.6465)",60
-60,1202503288,"(-122.0952,37.6465)",59
-60,1202503307,"(-122.0952,37.6465)",60
-60,1202503427,"(-122.0951,37.6465)",59
